x,R,m,model,,,,,,,,,
0.289772727,0.408,56.40120455,65.23069601,,,,,,,,,
0.290276792,0.409,56.67396707,65.26227563,,,,,,,,,
0.290780142,0.41,56.9449797,65.29367291,,,,,,,,,
0.291282778,0.411,57.2141515,65.32488788,,,,,,,,,
0.291784703,0.412,57.48139256,65.35592057,,,,,,,,,
0.292285916,0.413,57.746614,65.38677099,,,,,,,,,
0.292786421,0.414,58.0097281,65.4174392,,,,,,,,,
0.293286219,0.415,58.27064829,65.44792522,,,,,,,,,
0.293785311,0.416,58.52928926,65.47822908,,,,,,,,,
0.294283698,0.417,58.78556696,65.50835083,,,,,,,,,
0.294781382,0.418,59.03939867,65.53829051,,,,,,,,,
0.295278365,0.419,59.29070304,65.56804816,,,,,,,,,
0.295774648,0.42,59.53940013,65.59762383,,,,,,,,,
0.296270232,0.421,59.78541144,65.62701757,,,,,,,,,
0.29676512,0.422,60.02865996,65.65622943,,,,,,,,,
